,lang,family,dialects,iso6393,glottocode,speakers,regions,off_lang,rec_min_lang,Wikipedia_Url
852,Bua,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Volta-Congo', 'Savannas', 'Mbum–Day', 'Bua', 'Bua']",['Kawaway'],bub,buaa1245,"(7,700 cited 1993 census)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Bua_language
853,Kibosy,"['Austronesian', 'Malayo-Polynesian', 'Barito', 'East Barito', 'Malagasy', 'Kibosy']",Data not available,buc,bush1250,"60,000 (2017)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Bushi_language
854,Ntcham,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Gur', 'Northern', 'Oti–Volta', 'Gurma', 'Ntcham']",Data not available,Either:titlebudtitle – Ntchamtitleakstitle – Akaselem,ntch1241,"390,000 (2004–2013)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Ntcham_language
855,Beothuk,"['unclassified (', 'Algonquian', '?)']",Data not available,bue,beot1247,Data not available,Newfoundland,Data not available,Data not available,https://en.wikipedia.org/wiki/Beothuk_language
856,Bushong,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Volta-Congo', 'Benue–Congo', 'Bantoid', 'Southern Bantoid', 'Bantu', ' (', 'Zone C', ')', 'Bushoong languages', ' (C.80)', 'Bushong']",Data not available,buf,bush1247,"160,000, incl. Shuwa (2000)[1]",Kasai Province,Data not available,Data not available,https://en.wikipedia.org/wiki/Bushong_language
857,Buginese,"['Austronesian', 'Malayo-Polynesian', 'South Sulawesi', 'Bugis', '–', 'Tamanic', 'Bugis', 'Buginese']",Data not available,bug,bugi1244,"L1: 3.5 million L2: 500,000  Total speakers: 4 million (2015 UNSD)[1]","South Sulawesi; enclaves elsewhere in Sulawesi, Borneo, Sumatra, Maluku, Papua",Data not available,Data not available,https://en.wikipedia.org/wiki/Buginese_language
858,Younuo,"['Hmong–Mien', 'Hmongic', 'Bahengic', ' or ', 'Sheic', '?', 'Younuo']",Data not available,buh,youn1235,"(9,700 cited 1995)[1]","Longsheng Various Nationalities Autonomous County, Guangxi, China",Data not available,Data not available,https://en.wikipedia.org/wiki/Younuo_language
859,Bongili,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Bantoid', 'Bantu', ' (', 'Zone C.10', ')', 'Ngondi–Ngiri', 'Bongili']",Data not available,bui,bong1284,"12,000 (2018)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Bongili_language
860,Kɔrɔmba,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Kainji', 'Basa languages', 'Kɔrɔmba']",Data not available,buj,basa1281,"(2,000 cited 1987)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Koromba_language
861,Bukawa,"['Austronesian', 'Malayo-Polynesian', 'Oceanic', 'Western Oceanic', 'North New Guinea', '\xa0?', 'Ngero–Vitiaz', '\xa0?', 'Huon Gulf', 'North Huon Gulf', 'Bukawa']",Data not available,buk,buga1250,"12,000 (2011)[1]","Huon Gulf, Morobe Province",Data not available,Data not available,https://en.wikipedia.org/wiki/Bukawa_language
862,Bulgarian,"['Indo-European', 'Balto-Slavic', 'Slavic', 'South Slavic', 'Eastern South Slavic', 'Bulgarian']",['Bulgarian dialects'],bul,bulg1262,L1: 7.6 million in Bulgaria (2011 census)[4]L1 + L2: c. 10 million in all countries (2023)[5],Data not available,BulgariaEuropean Union,"
Albania
Czech Republic[6]
Hungary[7]
Moldova
Romania[8]
Russia
Serbia
Turkey[9][10][11][12]
Ukraine
",https://en.wikipedia.org/wiki/Bulgarian_language
863,Bulu,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Volta-Congo', 'Benue–Congo', 'Bantoid', 'Southern Bantoid', 'Bantu', ' (', 'Zone A', ')', 'Beti', 'Bulu']","['Bulu', 'Bene']",bum,bulu1251,"860,000 (2007)[1]",Cameroon,Data not available,Data not available,https://en.wikipedia.org/wiki/Bulu_language
864,Sherbro,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Mel', 'Bullom–Kissi', 'Bullom', 'Southern', 'Sherbro']",Data not available,bun,sher1258,"210,000 (2019)[1]",coast of Sierra Leone and Sherbro Island,Data not available,Data not available,https://en.wikipedia.org/wiki/Sherbro_language
865,Terei,"['South Bougainville', '\nBuinic', 'Buin', 'Terei']",Data not available,buo,tere1278,"27,000 (2003)[1]",Bougainville,Data not available,Data not available,https://en.wikipedia.org/wiki/Terei_language
866,Busoa,"['Austronesian', 'Malayo-Polynesian', 'Celebic', 'Muna–Buton', 'Munan', 'Busoa']",Data not available,bup,buso1238,"2,300 (2000)[1]",Buton Island,Data not available,Data not available,https://en.wikipedia.org/wiki/Busoa_language
867,Barem,"['Trans–New Guinea', '?\n', 'Madang', 'Croisilles', 'Isumrud', 'Dimir–Malas', 'Barem']",Data not available,buq,brem1238,"1,200 (2003)[1]","Sumgilbar Rural LLG, Madang Province",Data not available,Data not available,https://en.wikipedia.org/wiki/Brem_language
868,Bungain,"['Torricelli', 'Marienberg', 'Bungain–Forok', 'Bungain']",Data not available,but,bung1270,"3,600, including Forok (2003)[1]",East Sepik Province,Data not available,Data not available,https://en.wikipedia.org/wiki/Bungain_language
869,Budu,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Southern Bantoid', 'Bantu', ' (', 'Zone D.30', ')', 'Nyali', ' (Budu–Ndaka)', 'Budu']",Data not available,buu,budu1250,"(180,000 cited 1991)[1]",Orientale Province,Data not available,Data not available,https://en.wikipedia.org/wiki/Budu_language
870,Bun,"['Yuat', 'Bun']",Data not available,buv,bunn1240,480 (2003)[1],East Sepik Province,Data not available,Data not available,https://en.wikipedia.org/wiki/Bun_language
871,Vove,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Bantoid', 'Bantu', ' (', 'Zone B', ')', 'Tsogo languages', ' (B.30)', 'Vove']",Data not available,buw,bubi1250,"4,000 (2007)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Vove_language
872,Boghom,"['Afro-Asiatic', 'Chadic', 'West Chadic', 'Barawa (B.3)', 'Boghom languages', 'Boghom']",Data not available,bux,bogh1241,"(50,000 cited 1973)[1]",Plateau State,Data not available,Data not available,https://en.wikipedia.org/wiki/Boghom_language
873,Bullom So,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Mel', 'Bullom–Kissi', 'Bullom', 'Northern', 'Bullom So']",Data not available,buy,bull1247,"7,700 in Sierra Leone (2019)[1]Few in Guinea[1]","coast of Guinea, near the Sierra Leone border",Data not available,Data not available,https://en.wikipedia.org/wiki/Bullom_So_language
874,Barein,"['Afro-Asiatic', 'Chadic', 'East Chadic', 'East Chadic B', 'Sokoro', ' (B.3)', 'Barein']",Data not available,bva,bara1406,"(4,100 cited 1993 census)[1]",south central,Data not available,Data not available,https://en.wikipedia.org/wiki/Barein_language
875,Bube,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Volta-Congo', 'Benue–Congo', 'Bantoid', 'Southern Bantoid', 'Bantu', 'Mbam', '-Bube-', 'Jarawan', 'Bube']",Data not available,bvbtitle – inclusive codetitleIndividual code:titlebbxtitle – Bubia (Wovea),bube1242,"51,000 (2011)[1]",Data not available,Data not available,Equatorial Guinea,https://en.wikipedia.org/wiki/Bube_language
876,Baelelea,"['Austronesian', 'Malayo-Polynesian', 'Oceanic', 'Southeast Solomonic', 'Malaita', 'Malaita', 'Northern Malaita', 'Baelelea']",Data not available,bvc,bael1237,"(8,800 cited 1999)[1]",Malaita,Data not available,Data not available,https://en.wikipedia.org/wiki/Baelelea_language
877,Baeggu,"['Austronesian', 'Malayo-Polynesian', 'Oceanic', 'Southeast Solomonic', 'Malaita – San Cristobal', 'Malaita', 'Northern Malaita', 'Baeggu']",Data not available,bvd,baeg1237,"(5,900 cited 1999)[1]",Malaita Island,Data not available,Data not available,https://en.wikipedia.org/wiki/Baeggu_language
878,Berau,"['Austronesian', 'Malayo-Polynesian', 'Malayo-Sumbawan', '\xa0?', 'Malayic', 'Berau']",Data not available,bve,bera1262,"11,000 (2007)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Berau_Malay_language
879,Boor,"['Afro-Asiatic', 'Chadic', 'East Chadic', 'East Chadic A', 'Miltu (A.1.2)', 'Boor']",Data not available,bvf,boor1242,(100 cited 1999)[1],south,Data not available,Data not available,https://en.wikipedia.org/wiki/Boor_language
880,Bonkeng,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Bantoid', 'Bantu', ' (', 'Zone A.10', ')', 'perhaps ', 'Sawabantu', '?', 'Bafo', '–Bonkeng', 'Bonkeng']",Data not available,bvg,bonk1243,"3,000 (2000)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Bonkeng_language
881,Bure,"['Afro-Asiatic', 'Chadic', 'West Chadic', 'Bole–Angas', 'Bole–Tangale (A.2)', 'Bole', ' (North)', 'Bure']",Data not available,bvh,bure1242,20 (2011)[1],Bauchi State,Data not available,Data not available,https://en.wikipedia.org/wiki/Bure_language
882,Belanda Viri,"['Niger-Congo', 'Atlantic-Congo', 'Volta-Congo', 'Ubangian', 'Seri–Mba', 'Sere', 'Sere–Bviri', 'Belanda Viri']",Data not available,bvi,bela1255,"73,000 (2017)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Belanda_Viri_language
883,Baan,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Cross River', 'Ogoni', 'West Ogoni', 'Baan']",Data not available,bvj,baan1241,"(5,000 cited 1990)[1]",Rivers State,Data not available,Data not available,https://en.wikipedia.org/wiki/Baan_language
884,Bukat,"['Austronesian', 'Malayo-Polynesian', 'Greater North Borneo', 'Central Sarawak', 'Punan–Müller-Schwaner', 'Punan', 'Bukat']",Data not available,bvk,buka1261,(400 cited 1981)[1],West Kalimantan,Data not available,Data not available,https://en.wikipedia.org/wiki/Bukat_language
885,Munka,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Southern Bantoid', 'Grassfields', 'Ring', 'South', 'Munka']",Data not available,bvm,bamu1256,"31,000 (2008)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Munka_language
886,Buna,"['Torricelli', 'Marienberg', 'Buna']","['North Buna', 'South Buna']",bvn,buna1277,750 (2003)[1],"Marienberg Rural LLG, East Sepik Province",Data not available,Data not available,https://en.wikipedia.org/wiki/Buna_language
887,Bolgo,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Mbum–Day', 'Bua', 'Bolgo']",Data not available,bvo,bolg1251,"(1,800 cited 1993 census)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Bolgo_language
888,Bumang,"['Austroasiatic', 'Khasi–Palaungic', 'Palaungic', 'Bit–Khang', 'Bumang']",Data not available,bvp,Data not available,200 (2007)[1],Yunnan,Data not available,Data not available,https://en.wikipedia.org/wiki/Bumang_language
889,Birri,"['Nilo-Saharan', '?\n', 'Central Sudanic', 'Birri–', 'Kresh', 'Birri']","['Mboto', 'Munga']",bvq,birr1240,(200 cited 1996)[1]extinct in Sudan (1993)[1],Haut-Mbomou,Data not available,Data not available,https://en.wikipedia.org/wiki/Birri_language
890,Burarra,"['Arnhem', '?\n', 'Maningrida', 'Burarra']","['Gun-narta (Gidjingaliya, Anbarra)', 'Gun-nartpa (Gudjarlabiya)', 'Gun-narda (Martay)']",bvr,bura1267,"1,229 (2021 census)[1]",Northern Territory,Data not available,Data not available,https://en.wikipedia.org/wiki/Burarra_language
891,Bati,"['Austronesian', 'Malayo-Polynesian', 'Central–Eastern', 'Central Maluku', '\xa0?', 'East Central Maluku', 'Seran Laut', 'Bati']",Data not available,bvt,bati1253,"(3,500 cited 1989)[1]",Seram Island,Data not available,Data not available,https://en.wikipedia.org/wiki/Bati_language_(Indonesia)
892,Abane,"['Arawakan', '\nNorthern', 'Upper Amazonian', 'Orinoco', 'Yavitero languages', 'Abane']",Data not available,bvv,bani1254,Data not available,Colombian border,Data not available,Data not available,https://en.wikipedia.org/wiki/Abane_language
893,Boga,"['Afro-Asiatic', 'Chadic', 'Biu–Mandara', 'Tera', ' (A.1)', 'Boga']",Data not available,bvw,boga1251,"(10,000 cited 1990)[1]",Adamawa State,Data not available,Data not available,https://en.wikipedia.org/wiki/Boga_language
894,Bole,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Bantoid', 'Bantu', ' (', 'Zone C.10', ')', 'Ngondi–Ngiri', 'Bole']","['Dzeke', 'Kinami', 'Bouanila']",bvx,dibo1245,"4,000, incl. 800 monolinguals (2004)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Bole_language_(Bantu)
895,Baybay,"['Austronesian', 'Malayo-Polynesian', 'Philippine', 'Central Philippine', 'Bisayan', 'Central Bisayan', 'Warayan', 'Baybay']",Data not available,bvy,bayb1234,"10,000 (2009)[1]","Baybay, Leyte",Data not available,Data not available,https://en.wikipedia.org/wiki/Baybay_language
896,Bauzi,"['East Geelvink Bay', '\nBauzi–Demisa', 'Bauzi']",Data not available,bvz,bauz1241,"(1,500 cited 1991)[1]",Indonesian Papua,Data not available,Data not available,https://en.wikipedia.org/wiki/Bauzi_language
897,Namosi-Naitasiri-Serua,"['Austronesian', 'Malayo-Polynesian', 'Oceanic', 'Central Pacific', 'West Fijian – Rotuman', 'West Fijian', 'Namosi-Naitasiri-Serua']",Data not available,bwb,namo1248,"1,600 (2000)[1]","Namosi, Serua, Naitasiri provinces",Data not available,Data not available,https://en.wikipedia.org/wiki/Namosi-Naitasiri-Serua_language
898,Bwile,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Southern Bantoid', 'Bantu', ' (', 'Zone M', ')', 'Sabi', '?', 'Bwile']",Data not available,bwc,bwil1245,"32,000 (2002–2010)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Bwile_language
899,Bwaidoka,"['Austronesian', 'Malayo-Polynesian', 'Oceanic', 'Western Oceanic', 'Papuan Tip', 'Nuclear Papuan Tip', ""North Papuan Mainland – D'Entrecasteaux"", 'Bwaidoga', 'Bwaidoka']",Data not available,bwd,bwai1242,"6,500 (2000)[1]","Milne Bay Province (Goodenough Island, Fergusson Island)",Data not available,Data not available,https://en.wikipedia.org/wiki/Bwaidoka_language
900,Bwe,"['Sino-Tibetan', '\n(', 'Tibeto-Burman', ')', 'Karen languages', 'Sgaw–Bghai', 'Bghai', 'Bwe']",Data not available,bwe,bwek1238,"(17,000 cited 1997)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Bwe_Karen_language
901,Boselewa,"['Austronesian', 'Malayo-Polynesian', 'Oceanic', 'Western Oceanic', 'Papuan Tip', 'Nuclear Papuan Tip', ""North Papuan Mainland – D'Entrecasteaux"", 'Dobu–Duau', 'Boselewa']",Data not available,bwf,bose1237,880 (2011 census)[1],"Fergusson Island, Milne Bay Province",Data not available,Data not available,https://en.wikipedia.org/wiki/Boselewa_language
902,Bishuo,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Volta–Congo', 'Benue–Congo', 'Bantoid', 'Southern Bantoid', 'Beboid', '?', 'Furu', '?', 'Bishuo']",Data not available,bwh,bish1246,Data not available,Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Bishuo_language
903,Karu,"['Arawakan', '\nNorthern', 'Upper Amazon', 'Eastern Nawiki', 'Karu']","['Carútana-Baniwa', 'Hohôdene (Katapolitana)', 'Siusy-Tapuya (Seuci)', 'Ipeka-Tapuia', 'Curripaco (', 'Wakuénai', ')', 'Unhun (Katapolitana, Enhen)', 'Waliperi', 'Mapanai', 'Moriwene']",Either:titlebwititle – Baniwatitlekpctitle – Curripako,bani1259title  Baniwa-Curripaco,"12,000 (2001–2007)[1]",Data not available, Brazil (São Gabriel da Cachoeira),Data not available,https://en.wikipedia.org/wiki/Karu_language
904,Láá Láá Bwamu,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Gur', 'Northern Gur', 'Bwa', 'Láá Láá Bwamu']",Data not available,bwj,laal1241,"69,000 (2000)[1]",Burkina Faso,Data not available,Data not available,https://en.wikipedia.org/wiki/L%C3%A1%C3%A1_L%C3%A1%C3%A1_Bwamu_language
905,Bwela,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Bantoid', 'Bantu', 'Buja–Ngombe', '?', 'Bwela']",Data not available,bwl,bwel1238,"8,400 (2002)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Bwela_language
906,Mundugumor,"['Yuat', 'Mundugumor']",Data not available,bwm,biwa1243,"3,000 (2003)[1]","East Sepik Province, Papua New Guinea",Data not available,Data not available,https://en.wikipedia.org/wiki/Mundugumor_language
907,Hm Nai,"['Hmong–Mien', 'Hmongic', 'Bahengic', 'Hm Nai']",Data not available,bwn,wuna1248,"5,800 (2002)[1]",Hunan,Data not available,Data not available,https://en.wikipedia.org/wiki/Hm_Nai_language
908,Shinasha,"['Afro-Asiatic', 'Omotic', 'North', 'Gonga', 'Shinasha']","['Amuru', 'Wenbera', 'Gamila', 'Guba']",bwo,boro1277,"36,000 (2007 census)[2][3]",Ethiopia,Data not available,Data not available,https://en.wikipedia.org/wiki/Shinasha_language
909,Bura,"['Afro-Asiatic', 'Chadic', 'Biu–Mandara', 'Bura–Higi', 'Bura languages', ' (A.2)', 'Bura']",Data not available,bwr,bura1292,"510,000 (2020)[1]","Borno State, Adamawa State, Yobe State, Gombe State",Data not available,Data not available,https://en.wikipedia.org/wiki/Bura_language
910,Bomboma,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Bantoid', 'Bantu', ' (', 'Zone C.40', ')', 'Buja–Ngombe', 'Bomboma']",Data not available,bws,bomb1262,"(23,000 cited 1983 census)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Bomboma_language
911,Bafaw,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Bantoid', 'Bantu', ' (', 'Zone A.10', ')', 'perhaps ', 'Sawabantu', '?', 'Bafo–', 'Bonkeng', 'Bafaw']","['Fo’ (Bafaw)', 'Long (Balong)']",bwt,bafa1247,"(8,400 cited 1982)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Bafaw-Balong_language
912,Buli,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Gur', 'Northern', 'Oti–Volta', 'Buli–Koma', 'Buli']",Data not available,bwu,buli1254,"170,000 (2013)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Buli_language_(Ghana)
913,Bwa,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Bantoid', 'Bantu', ' (', 'Zone C.40', ')', 'Boan', 'Bomokandian', 'Bati–Angba', 'Bwa–Pagibete', 'Bwa']",Data not available,bww,bwaa1238,"(200,000 cited 1994)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Bwa_language
914,Bwa,Data not available,Data not available,bwx,buna1280,"390,000 (2001)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Bu-Nao_language
915,Cwi Bwamu,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Gur', 'Northern Gur', 'Bwa', 'Cwi Bwamu']",Data not available,bwy,cwib1235,"(24,000 cited 1999)[1]",Burkina Faso,Data not available,Data not available,https://en.wikipedia.org/wiki/Cwi_Bwamu_language
916,Bwisi,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Bantoid', 'Bantu', ' (', 'Zone B', ')', 'Sira', ' (B.40)', 'Bwisi']",Data not available,bwz,bwis1242,"4,300 (2000)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Bwisi_language
917,Bauro,"['Austronesian', 'Malayo-Polynesian', 'Oceanic', 'Southeast Solomonic', 'Malaita – San Cristobal', 'San Cristobal', 'Bauro']","['Haununu', 'Ravo']",bxa,baur1252,"(5,000 cited 1999)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Bauro_language
918,Bor,"['Nilo-Saharan', '?\n', 'Eastern Sudanic', '?', 'Kir–Abbaian', '?', 'Nilotic', 'Western', 'Luo', 'Northern', 'Bor']",Data not available,bxb,bela1256,"26,000 (2017)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Belanda_Bor_language
919,Lengue,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Bantoid', 'Bantu', ' (', 'Zone B', ')', 'Kélé', ' (b. 20)', 'Lengue']",Data not available,bxc,mole1238,"1,000 (2011)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Lengue_language
920,Pela,"['Sino-Tibetan', 'Tibeto-Burman', 'Lolo–Burmese', 'Burmish', 'Maruic', 'Pela']",Data not available,bxd,pela1242,400 (2000)[1],Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Pela_language
921,Ongota,"['unclassified (possibly a ', 'language isolate', ')']",Data not available,bxe,bira1253,12 (2012)[1],"Southern Omo Zone, Southern Region",Data not available,Data not available,https://en.wikipedia.org/wiki/Ongota_language
922,Bilur,"['Austronesian', 'Malayo-Polynesian', 'Oceanic', 'Western', 'Meso-Melanesian', '(St George linkage)', 'Label–Bilur', 'Bilur']",Data not available,bxf,bilu1244,"4,200 (2012)[1]",East New Britain Province,Data not available,Data not available,https://en.wikipedia.org/wiki/Bilur_language
923,Bangala,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Bantoid', 'Bantu', ' (', 'Zone C', ')', 'Bangi–Ntomba', ' (C.30)', 'Bangi–Moi', 'Bangi', 'Lingala', 'Bangala']",Data not available,bxg,bang1353,"(undated figure of ""few"")[1]L2: 3.5 million (1991)[2]",Haut-Uele District,Data not available,Data not available,https://en.wikipedia.org/wiki/Bangala_language
924,Buhutu,"['Austronesian', 'Malayo-Polynesian', 'Oceanic', 'Western', 'Papuan Tip', 'Nuclear', 'Suauic', 'Buhutu']",Data not available,bxh,buhu1237,"1,400 (2003)[1]","Milne Bay Province, Papua New Guinea",Data not available,Data not available,https://en.wikipedia.org/wiki/Buhutu_language
925,Bukusu,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Volta-Congo', 'Benue–Congo', 'Bantoid', 'Southern Bantoid', 'Bantu', 'Northeast Bantu', 'Great Lakes Bantu', 'Masaba–Luhya', 'Masaba', '[2]', 'Bukusu']",Data not available,bxk,buku1249,1.4 million (2009 census)[1],Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Bukusu_dialect
926,Burduna,"['Pama–Nyungan', 'Kanyara–Mantharta', 'Kanyara', 'Burduna']",Data not available,Either:titlebxntitle – Burduna (extinct?)titlebxjtitle – Bayungu (extinct),burd1238title  Burdunatitlebayu1240title  Bayungu,Data not available,Ashburton and Gascyon rivers,Data not available,Data not available,https://en.wikipedia.org/wiki/Burduna_language
927,Barikanci,"['Hausa', '-based ', 'pidgin']",Data not available,bxo,bari1241,None[1],Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Barikanchi_Pidgin
928,Bebil,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Southern Bantoid', 'Bantu', ' (', 'Zone A', ')', 'Beti', 'Bebil']",Data not available,bxp,bebi1242,"(6,000 cited 1991)[1]",Cameroon,Data not available,Data not available,https://en.wikipedia.org/wiki/Bebil_language
929,Ɓeele,"['Afro-Asiatic', 'Chadic', 'West Chadic', 'Bole–Angas', 'Bole–Tangale (A.2)', 'Bole', ' (North)', 'Ɓeele']",Data not available,bxq,beel1236,Data not available,Bauchi State,Data not available,Data not available,https://en.wikipedia.org/wiki/%C6%81eele_language
930,Busam,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Southern Bantoid', 'Grassfields', 'Southwest', 'Busam']",Data not available,bxs,busa1251,"3,400 (2005)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Busam_language
931,Beraku,"['Nilo-Saharan', '?\n', 'Central Sudanic', 'Bongo–Bagirmi', 'Bagirmi', 'Beraku']",Data not available,bxv,bera1261,Data not available,Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Beraku_language
932,Banka,"['Niger–Congo', 'Mande', 'Western', 'Northwestern', 'Samogo', 'Banka']",Data not available,bxw,bank1258,"6,000 (2007)[1]",Mali,Data not available,Data not available,https://en.wikipedia.org/wiki/Banka_language
933,Bikya,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Volta–Congo', 'Benue–Congo', 'Bantoid', 'Southern Bantoid', 'Beboid', '?', 'Furu', ' or Eastern Beboid?', 'Bikya']",Data not available,byb,biky1238,Data not available,"Northwest Region, Menchum department, Furu-Awa Subdivision, Furubana village",Data not available,Data not available,https://en.wikipedia.org/wiki/Bikya_language
934,Ubaghara,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Cross River', 'Upper Cross', 'Central', 'North–South', 'Ubaghara–Kohumono', 'Ubaghara']",Data not available,byc,ubag1245,"(30,000 cited 1985)[1]",Cross River State,Data not available,Data not available,https://en.wikipedia.org/wiki/Ubaghara_language
935,Nyaduʼ,"['Austronesian', 'Malayo-Polynesian', 'Greater North Borneo', 'Land Dayak', 'Bekati', 'Nyaduʼ']",Data not available,byd,beny1237,"54,000 (2007)[1]",Kalimantan,Data not available,Data not available,https://en.wikipedia.org/wiki/Nyadu%CA%BC_language
936,Pouye,"['Sepik languages', 'Ram', 'Pouye']",Data not available,bye,pouy1238,960 (2003)[1],Sandaun Province,Data not available,Data not available,https://en.wikipedia.org/wiki/Pouye_language
937,Bete,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Plateau', 'Yukubenic', 'Bete–Lufu', 'Bete']",Data not available,byf,bete1261,(50 cited 1992)[1],Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Bete_language_(Nigeria)
938,Beigo,"['Nilo-Saharan', '?\n', 'Eastern Sudanic', '?', 'Kir–Abbaian', '?', 'Daju', 'Western', 'Beigo']",Data not available,byg,bayg1239,Data not available,Darfur,Data not available,Data not available,https://en.wikipedia.org/wiki/Beigo_language
939,Bhujel,"['Sino-Tibetan', ', and ', 'Khaskura', 'Chepangic', ' Greater-Magaric Branch', 'Bhujel']",Data not available,byh,bujh1238,"22,000 (2011 census)[1]","Tanahu District, Nepal",Data not available,Data not available,https://en.wikipedia.org/wiki/Bhujel_language
940,Buyu,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Bantoid', 'Bantu', ' (', 'Zone D', ')', 'Nyanga–Buyi', 'Buyu']",Data not available,byi,buyu1239,"10,000 (2002)[1]",South Kivu–Katanga,Data not available,Data not available,https://en.wikipedia.org/wiki/Buyu_language
941,Bina,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Kainji', 'East Kainji', 'Bina']",Data not available,byj,bina1270,"7,000 (2000)[1]",Kaduna State,Data not available,Data not available,https://en.wikipedia.org/wiki/Bina_language
942,Bayono,"['Bayono–Awbono', 'Bayono']",Data not available,byl,bayo1260,300 (2020)[1],"Papua Province, Indonesia: Eilanden-Steenboom River area",Data not available,Data not available,https://en.wikipedia.org/wiki/Bayono_language
943,Bilen,"['Afro-Asiatic', 'Cushitic', 'Agaw', 'Northern', 'Bilen']","['Senhit', 'T’aqwur']",byn,bili1260,"72,000 (2022)[1]","Anseba, Keren",Data not available, Eritrea,https://en.wikipedia.org/wiki/Bilen_language
