lang,goglottocodettolog,url_x,Unnamed: 0,glottocode,url_y,family,dialects,iso3code,speakers,regions,off_lang,rec_min_lang
Martuthunira,,,1319.0,mart1255,https://en.wikipedia.org/wiki/Martuthunira_language,"Pama–Nyungan, Ngayarta, Martuthunira","Pama–Nyungan, Ngayarta, Martuthunira",vma,Uknown,Western Australia,Unknown,Unknown
Marúbo,,,627.0,maru1252,https://en.wikipedia.org/wiki/Mar%C3%BAbo_language,"Panoan, Mainline Panoan, Nawa, Marubo group, Marúbo","Panoan, Mainline Panoan, Nawa, Marubo group, Marúbo",mzr,"1,300 ",Javari River basin,Unknown,Unknown
Masalit,,,372.0,nucl1440title  Nuclear Masalittitlemass1262title  Massalat,https://en.wikipedia.org/wiki/Masalit_language,"Nilo-Saharan,Maban, Masalit languages, Masalit","Nilo-Saharan,Maban, Masalit languages, Masalit",Either:titlemlstitle – Masalittitlemdgtitle – Massalat,"410,000 ","West Darfur, South Darfur (Sudan), Ouaddaï, Sila (Chad)",Unknown,Unknown
Maslam,,,1523.0,masl1241,https://en.wikipedia.org/wiki/Maslam_language,"Afro-Asiatic, Chadic, Biu–Mandara, Kotoko,  (B.), North, Maslam","Afro-Asiatic, Chadic, Biu–Mandara, Kotoko,  (B.), North, Maslam",msv,250 ,"Far North Province, Cameroon; west Chad",Unknown,Unknown
Massep,,,1534.0,mass1263,https://en.wikipedia.org/wiki/Massep_language,"Northwest Papuan,Foja Range, Kwerbic, Massep","Northwest Papuan,Foja Range, Kwerbic, Massep",mvs,25 ,"Papua: Sarmi Regency, West Pantai District, north coast (Masep village); also west of Sarmi near Apauwer River",Unknown,Unknown
Matagalpa,,,910.0,,https://en.wikipedia.org/wiki/Matagalpa,Uknown,Uknown,Not provided,Uknown,,Unknown,Unknown
Matipu,,,1467.0,,https://en.wikipedia.org/wiki/Matipu,Uknown,Uknown,Not provided,Uknown,,Unknown,Unknown
Matis,,,1688.0,,https://en.wikipedia.org/wiki/Matis,Uknown,Uknown,Not provided,Uknown,,Unknown,Unknown
Mator,,,582.0,mato1250titlenucl1288,https://en.wikipedia.org/wiki/Mator_language,"Uralic, Samoyedic, Mator","Uralic, Samoyedic, Mator",mtm,Uknown,,Unknown,Unknown
Mattole,,,1530.0,,https://en.wikipedia.org/wiki/Mattole,Uknown,Uknown,Not provided,Uknown,,Unknown,Unknown
Mavea,,,1132.0,mafe1237,https://en.wikipedia.org/wiki/Mavea_language,"Austronesian, Malayo-Polynesian, Oceanic, Southern Oceanic, North-Central Vanuatu, North Vanuatu, Espiritu Santo, Mavea","Austronesian, Malayo-Polynesian, Oceanic, Southern Oceanic, North-Central Vanuatu, North Vanuatu, Espiritu Santo, Mavea",mkv,34 ,Mavea Island,Unknown,Unknown
Mawak,,,560.0,mawa1266,https://en.wikipedia.org/wiki/Mawak_language,"Trans–New Guinea,Madang, Croisilles, NW Adelbert Range, Tiboran, Upper, Mawak","Trans–New Guinea,Madang, Croisilles, NW Adelbert Range, Tiboran, Upper, Mawak",mjj,25 ,Madang Province,Unknown,Unknown
Mawayana,,,50.0,mapi1252title  Mapidian-Mawayanatitlemawa1268title  Mawakwa,https://en.wikipedia.org/wiki/Mawayana_language,"Arawakan, North Arawak, Rio Branco,  (WapishaUknown), , Mawayana","Arawakan, North Arawak, Rio Branco,  (WapishaUknown), , Mawayana",Either:titlemzxtitle – Mawayanatitlempwtitle – Mapidian (duplicate code)title[4],2 ,,Unknown,Unknown
Mayoruna_language,,,1114.0,pano1256,https://en.wikipedia.org/wiki/Mayoruna_language,Uknown,Uknown,Not provided,Uknown,,Unknown,Unknown
Mazahua,,,1037.0,maza1293,https://en.wikipedia.org/wiki/Mazahua_language,"Oto-Manguean, Oto-Pamean, Otomian, Mazahua","Oto-Manguean, Oto-Pamean, Otomian, Mazahua",Either:titlemmctitle – Toluca Mazahuatitlemaztitle – Central Mazahua,"150,000 ","Mexico: State of Mexico, Toluca",Unknown,Unknown
Mazatlán Mazatec,,,315.0,maza1296,https://en.wikipedia.org/wiki/Mazatl%C3%A1n_Mazatec_language,"Oto-Manguean, Popolocan, Mazatecan, Lowland, Valley, Southern, Mazatlán Mazatec","Oto-Manguean, Popolocan, Mazatecan, Lowland, Valley, Southern, Mazatlán Mazatec",vmz,"12,000 ",Oaxaca,Unknown,Unknown
Maʼya,,,1719.0,raja1258,https://en.wikipedia.org/wiki/Ma%27ya_language,"Austronesian, Malayo-Polynesian, Central–Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, South Halmahera–West New Guinea, Raja Ampat–South Halmahera, Maya–Matbat, Maʼya","Austronesian, Malayo-Polynesian, Central–Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, South Halmahera–West New Guinea, Raja Ampat–South Halmahera, Maya–Matbat, Maʼya",Variously:titleslztitle – Ma'yatitlekgbtitle – Kawetitlelcctitle – Legenyemtitlewuytitle – Wauyai,"5,000 ",Raja Ampat Islands,Unknown,Unknown
Mbam_languages,,,296.0,mbam1252title  title(Mbam),https://en.wikipedia.org/wiki/Mbam_languages,Uknown,Uknown,Not provided,Uknown,,Unknown,Unknown
Mbelala,,,1745.0,tomb1245,https://en.wikipedia.org/wiki/Mbelala_language,"Austronesian, Malayo-Polynesian, Celebic, Kaili–Pamona, Northern, Mbelala","Austronesian, Malayo-Polynesian, Celebic, Kaili–Pamona, Northern, Mbelala",ttp,Uknown,Sulawesi,Unknown,Unknown
Mbembe,,,153.0,cros1244,https://en.wikipedia.org/wiki/Mbembe_language,"Niger–Congo,Atlantic–Congo languages, Benue–Congo languages, Cross River, Upper Cross, Central, East–West, Mbembe","Niger–Congo,Atlantic–Congo languages, Benue–Congo languages, Cross River, Upper Cross, Central, East–West, Mbembe",mfntitle – inclusive codetitleIndividual code:titleodatitle – Odut village,Uknown,,Unknown,Unknown
Mboteni,,,545.0,baga1275,https://en.wikipedia.org/wiki/Pukur_language,"Niger–Congo,Atlantic–Congo, Rio Nunez, Mboteni","Niger–Congo,Atlantic–Congo, Rio Nunez, Mboteni",bcg,"3,700 ",coastal villages of Binari and Mboteni,Unknown,Unknown
Mboteni,,,672.0,baga1275,https://en.wikipedia.org/wiki/Mboteni_language,"Niger–Congo,Atlantic–Congo, Rio Nunez, Mboteni","Niger–Congo,Atlantic–Congo, Rio Nunez, Mboteni",bcg,"3,700 ",coastal villages of Binari and Mboteni,Unknown,Unknown
Mbya,,,415.0,mbya1239,https://en.wikipedia.org/wiki/Mby%C3%A1_Guaran%C3%AD_language,"Tupian, Tupi–Guarani, Guarani (I), Guarani, Mbya","Tupian, Tupi–Guarani, Guarani (I), Guarani, Mbya",gun,"15,050 ",,Unknown,Unknown
Meadow Mari,,,161.0,east2328,https://en.wikipedia.org/wiki/Meadow_Mari_language,"Uralic, Mari, Meadow Mari","Uralic, Mari, Meadow Mari",mhr,"470,000 ",Mariy El Republic,Unknown, Russia Mari El
Mednyj Aleut,,,1230.0,medn1235,https://en.wikipedia.org/wiki/Mednyj_Aleut_language,"mixed, Aleut, –, Russian","mixed, Aleut, –, Russian",mud,Uknown,Commander Islands,Unknown,Unknown
Megleno-Romanian,,,1544.0,megl1237,https://en.wikipedia.org/wiki/Megleno-Romanian_language,"Indo-European, Italic, Latino-Faliscan, Latin, Romance, Eastern Romance, , Northern or Southern Romanian, a, Megleno-Romanian","Indo-European, Italic, Latino-Faliscan, Latin, Romance, Eastern Romance, , Northern or Southern Romanian, a, Megleno-Romanian",ruq,"5,000 ",,Unknown,Unknown
Mehinaku,,,737.0,,https://en.wikipedia.org/wiki/Mehinaku,Uknown,Uknown,Not provided,Uknown,,Unknown,Unknown
Meitei,,,1547.0,mani1292title  Manipurititlemeit1246title  Meitei (standard dialect)titleloii1241title  Loi (titleChakpa dialecttitle)titlepang1284title  Pangal (Muslim dialect),https://en.wikipedia.org/wiki/Meitei_language,"Sino-Tibetan, Tibeto-Burman, Central Tibeto-Burman, Meitei","Sino-Tibetan, Tibeto-Burman, Central Tibeto-Burman, Meitei",Either:titlemnititle – Manipurititleomptitle – Old Manipuri,Uknown,Northeast India and Neighbouring areas of Bangladesh and Myanmar,"
India
Manipur
","
Assam
Tripura
Bangladesh
Myanmar
"
Mekens,,,795.0,saki1248,https://en.wikipedia.org/wiki/Sakurabiat_language,"Tupian, Tuparí, Mekens","Tupian, Tuparí, Mekens",skf,40 ,Brazil,Unknown,Unknown
Menominee,,,1629.0,,https://en.wikipedia.org/wiki/Menominee,Uknown,Uknown,Not provided,Uknown,,Unknown,Unknown
Merei,,,477.0,tial1239title  Tialetitlemere1242title  Merei,https://en.wikipedia.org/wiki/Malmariv_language,"Austronesian, Malayo-Polynesian, Oceanic, Southern Oceanic, North-Central Vanuatu, North Vanuatu, Espiritu Santo, Merei","Austronesian, Malayo-Polynesian, Oceanic, Southern Oceanic, North-Central Vanuatu, North Vanuatu, Espiritu Santo, Merei",Either:titlemnltitle – Tialetitlelmbtitle – Merei,Uknown,"Espiritu Santo Island, Vanuatu",Unknown,Unknown
Meriam,,,1360.0,meri1244,https://en.wikipedia.org/wiki/Meriam_language,"Trans-Fly, Eastern Trans-Fly, Meriam","Trans-Fly, Eastern Trans-Fly, Meriam",ulk,217 ,"Murray Island, Torres Strait, Queensland, Australia",Unknown,Unknown
Mi'kmaq,,,605.0,mikm1235,https://en.wikipedia.org/wiki/Mi%27kmaq_language,"Algic, Algonquian, Eastern Algonquian, ""Mikmaq""","Algic, Algonquian, Eastern Algonquian, ""Mikmaq""",mic,"7,140, 4% of ethnic population ","Nova Scotia, New Brunswick, Prince Edward Island, Gaspé Peninsula, the island of Newfoundland, Anticosti Island, northern Maine, Boston, Massachusetts",CanadaNova Scotia,CanadaNew BrunswickPrince Edward Island
Miami-Illinois,,,1698.0,miam1252,https://en.wikipedia.org/wiki/Miami-Illinois_language,"Algic, Algonquian, Miami-Illinois","Algic, Algonquian, Miami-Illinois",mia,Uknown,"Illinois, Indiana, Kansas, Michigan, Ohio, Oklahoma",Unknown,Unknown
Miccosukee,,,334.0,,https://en.wikipedia.org/wiki/Miccosukee,Uknown,Uknown,Not provided,Uknown,,Unknown,Unknown
Micha,,,51.0,miqi1235,https://en.wikipedia.org/wiki/Micha_language,"Sino-Tibetan, (, Tibeto-Burman, ), Lolo–Burmese, Loloish, Lisoish, Lisu–Lalo\xa, Micha, Micha","Sino-Tibetan, (, Tibeto-Burman, ), Lolo–Burmese, Loloish, Lisoish, Lisu–Lalo\xa, Micha, Micha",yiq,"30,000 ",Yunnan,Unknown,Unknown
Miji,,,1445.0,saja1240,https://en.wikipedia.org/wiki/Miji_language,"possiblySino-Tibetan,or alanguage isolate, Hrusish,Mijiic, Miji","possiblySino-Tibetan,or alanguage isolate, Hrusish,Mijiic, Miji",sjl,"28,000 ","Arunachal Pradesh, India and Shannan Prefecture, China",Unknown,Unknown
Miltu,,,1781.0,milt1241,https://en.wikipedia.org/wiki/Miltu_language,"Afro-Asiatic, Chadic, East Chadic, East Chadic A, Miltu languages,  (A..), Miltu","Afro-Asiatic, Chadic, East Chadic, East Chadic A, Miltu languages,  (A..), Miltu",mlj,Uknown,southwest,Unknown,Unknown
Mindiri,,,573.0,mind1255,https://en.wikipedia.org/wiki/Mindiri_language,"Austronesian, Malayo-Polynesian, Oceanic, Western Oceanic, North New Guinea, \xa, Ngero–Vitiaz, Bel, Astrolabe, Mindiri","Austronesian, Malayo-Polynesian, Oceanic, Western Oceanic, North New Guinea, \xa, Ngero–Vitiaz, Bel, Astrolabe, Mindiri",mpn,80 ,"along Rai Coast, Madang Province",Unknown,Unknown
Mingrelian,,,1504.0,ming1252,https://en.wikipedia.org/wiki/Mingrelian_language,"Kartvelian, Karto-Zan, Zan, Mingrelian","Kartvelian, Karto-Zan, Zan, Mingrelian",xmf,"345,000 ",MingreliaAbkhazia,Unknown,Unknown
Miriti,,,792.0,miri1270,https://en.wikipedia.org/wiki/Miriti_language,"Tucanoan, (unclassified), Miriti","Tucanoan, (unclassified), Miriti",mmv,Uknown,,Unknown,Unknown
Misantla Totonac,,,43.0,yecu1235,https://en.wikipedia.org/wiki/Misantla_Totonac,"Totonacan, Totonac, Misantla Totonac","Totonacan, Totonac, Misantla Totonac",tlc,Uknown,Veracruz,Unknown,Unknown
Mising Language,,,429.0,misi1242,https://en.wikipedia.org/wiki/Padam_language,"Sino-Tibetan, Tani, East Tani (, Adi, ), Mising Language","Sino-Tibetan, Tani, East Tani (, Adi, ), Mising Language",mrg,"629,954 ",Assam,Unknown,Unknown
Mising Language,,,626.0,misi1242,https://en.wikipedia.org/wiki/Mising_language,"Sino-Tibetan, Tani, East Tani (, Adi, ), Mising Language","Sino-Tibetan, Tani, East Tani (, Adi, ), Mising Language",mrg,"629,954 ",Assam,Unknown,Unknown
Miskito,,,37.0,misk1235,https://en.wikipedia.org/wiki/Miskito_language,"Misumalpan, Miskito","Misumalpan, Miskito",miq,"150,000 ","North Caribbean Coast Autonomous Region, neighbouring areas",Unknown,Unknown
Mixtec,,,1229.0,mixt1427,https://en.wikipedia.org/wiki/Mixtec_language,"Oto-Manguean, Mixtecan, Mixtec","Oto-Manguean, Mixtecan, Mixtec",(titlefifty-two individual codestitle),"530,000 in Mexico ","Oaxaca, Puebla, Guerrero",Mexico,Unknown
Mixtepec Zapotec,,,457.0,mixt1426,https://en.wikipedia.org/wiki/Mixtepec_Zapotec,"Oto-Manguean, Zapotecan, Zapotec, Sierra Sur, Cis-Yautepec, Mixtepec Zapotec","Oto-Manguean, Zapotecan, Zapotec, Sierra Sur, Cis-Yautepec, Mixtepec Zapotec",zpm,Uknown,Oaxaca,Unknown,Unknown
Mizo,,,475.0,lush1249,https://en.wikipedia.org/wiki/Mizo_language,"Sino-Tibetan, Tibeto-Burman, Central Tibeto-Burman,  Kuki-Chin-Naga, Kuki-Chin, Central, Mizo","Sino-Tibetan, Tibeto-Burman, Central Tibeto-Burman,  Kuki-Chin-Naga, Kuki-Chin, Central, Mizo",lus,"1,000,000+[a] ","
Chittagong Hill Tracts, Bangladesh
Chin State and Sagaing Region, Myanmar
Other regions inhabited by the Mizo diaspora
","
Mizoram, India
Chinland (partially recognised state), Myanmar
",Unknown
Mlabri,,,283.0,mlab1235,https://en.wikipedia.org/wiki/Mlabri_language,"Austroasiatic, Khmuic, Mlabri","Austroasiatic, Khmuic, Mlabri",mra,130 ,,Unknown,Unknown
Mlap,,,1779.0,mlap1238,https://en.wikipedia.org/wiki/Kwansu_language,"Foja Range, Nimboran, Mlap","Foja Range, Nimboran, Mlap",kja,300 ,New Guinea,Unknown,Unknown
Mlaḥsô,,,182.0,mlah1239,https://en.wikipedia.org/wiki/Mlahso_language,"Afro-Asiatic, Semitic, Central Semitic, Northwest Semitic, Aramaic, Eastern Aramaic, Central Neo-Aramaic, Mlaḥsô","Afro-Asiatic, Semitic, Central Semitic, Northwest Semitic, Aramaic, Eastern Aramaic, Central Neo-Aramaic, Mlaḥsô",lhs,Uknown,"Originally two villages (Mlaḥsô/Yünlüce/Mela and ˁAnşa) near Lice in Diyarbakır Province of southeastern Turkey, later also Qamishli in northeastern Syria.",Unknown,Unknown
Mlomp,,,264.0,,https://en.wikipedia.org/wiki/Mlomp,Uknown,Uknown,Not provided,Uknown,Ziguinchor Region,Unknown,Unknown
Moche_culture,,,1098.0,,https://en.wikipedia.org/wiki/Moche_culture,Uknown,Uknown,Not provided,Uknown,,Unknown,Unknown
Mochoʼ,,,728.0,moch1257,https://en.wikipedia.org/wiki/Motozintleco_language,"Mayan, Qʼanjobalan–Chujean, Qʼanjobalan, Mochoʼ","Mayan, Qʼanjobalan–Chujean, Qʼanjobalan, Mochoʼ",mhc,124 ,"Eastern Chiapas (villages of Tuzatlán and Motozintla), Southern Mexico", Mexico,Unknown
Mochoʼ,,,1205.0,moch1257,https://en.wikipedia.org/wiki/Mocho%CA%BC_language,"Mayan, Qʼanjobalan–Chujean, Qʼanjobalan, Mochoʼ","Mayan, Qʼanjobalan–Chujean, Qʼanjobalan, Mochoʼ",mhc,124 ,"Eastern Chiapas (villages of Tuzatlán and Motozintla), Southern Mexico", Mexico,Unknown
Mohave,,,772.0,moha1256title  Mohave,https://en.wikipedia.org/wiki/Mohave_language,"Yuman, Core Yuman, River Yuman, Mohave","Yuman, Core Yuman, River Yuman, Mohave",movtitle  Mohave,200 ,"Arizona and California, U.S.",Unknown,Unknown
Mohawk,,,1246.0,moha1258,https://en.wikipedia.org/wiki/Mohawk_language,"Iroquoian, Northern, Lake Iroquoian, Five Nations, Mohawk–, Oneida, Mohawk","Iroquoian, Northern, Lake Iroquoian, Five Nations, Mohawk–, Oneida, Mohawk",moh,"3,875 ","Ontario, Quebec and northern New York",Unknown,Unknown
Mok,,,1160.0,mokk1243,https://en.wikipedia.org/wiki/Mok_language,"Austroasiatic, Khasi–Palaungic, Palaungic, Angkuic, Mok","Austroasiatic, Khasi–Palaungic, Palaungic, Angkuic, Mok",mqt,"4,700 ","Shan State, Myanmar and Thailand",Unknown,Unknown
Mokilese,,,814.0,moki1238,https://en.wikipedia.org/wiki/Mokilese_language,"Austronesian, Malayo-Polynesian, Oceanic, Micronesian, Nuclear Micronesian, Chuukic–Pohnpeic, Pohnpeic, Mokilese","Austronesian, Malayo-Polynesian, Oceanic, Micronesian, Nuclear Micronesian, Chuukic–Pohnpeic, Pohnpeic, Mokilese",mkj,Uknown,Mwoakilloa,Unknown,Unknown
Moklen,,,1398.0,mokl1243,https://en.wikipedia.org/wiki/Moklen_language,"Austronesian, Malayo-Polynesian, Moklenic, Moklen","Austronesian, Malayo-Polynesian, Moklenic, Moklen",mkm,Uknown,"Phang Nga Province, Ranong Province, and northern Phuket Island",Unknown,Unknown
Moksela,,,464.0,moks1249,https://en.wikipedia.org/wiki/Moksela_language,"Unclassified (, Central Maluku, )","Unclassified (, Central Maluku, )",vms,Uknown,Sula Islands,Unknown,Unknown
Moksha,,,228.0,,https://en.wikipedia.org/wiki/Moksha,Uknown,Uknown,Not provided,Uknown,,Unknown,Unknown
Molise Slavic,,,513.0,slav1254,https://en.wikipedia.org/wiki/Slavomolisano_dialect,"Indo-European, Balto-Slavic, Slavic, South Slavic, Western South Slavic, \xa, ru,Shtokavian, Molise Slavic","Indo-European, Balto-Slavic, Slavic, South Slavic, Western South Slavic, \xa, ru,Shtokavian, Molise Slavic",svm,"< 1,000 ",Molise,Unknown, Italy
Mondé,,,1198.0,sala1273,https://en.wikipedia.org/wiki/Salam%C3%A3y_language,"Tupian, Monde languages, Mondé","Tupian, Monde languages, Mondé",mnd,2 ,Brazil,Unknown,Unknown
Monguor,,,1185.0,tuuu1240,https://en.wikipedia.org/wiki/Monguor_language,"Mongolic, Southern Mongolic, Shirongolic, \xa, fr,Monguor","Mongolic, Southern Mongolic, Shirongolic, \xa, fr,Monguor",mjg,"150,000 ","Qinghai, Gansu",Unknown,Unknown
Montagnais,,,632.0,mont1268,https://en.wikipedia.org/wiki/Innu_language,"Algic, Algonquian, Cree, -Montagnais-, Naskapi, , Montagnais","Algic, Algonquian, Cree, -Montagnais-, Naskapi, , Montagnais",moe,"10,075, 36% of ethnic population ","Nitassinan(Quebec, Labrador)",Unknown,Unknown
Mopan,,,222.0,mopa1243,https://en.wikipedia.org/wiki/Mopan_language,"Mayan, Core Mayan, Yucatecan, Mopan–Itzaj, Mopan","Mayan, Core Mayan, Yucatecan, Mopan–Itzaj, Mopan",mop,"13,000 ",,Unknown,Unknown
Morokodo,,,535.0,gber1234title  Gberi-Morokodo-Mittutitlenyam1279title  Nyamusa-Molo,https://en.wikipedia.org/wiki/Morokodo_language,"Nilo-Saharan,Central Sudanic, Bongo–Bagirmi, Bongo–Baka, Morokodo","Nilo-Saharan,Central Sudanic, Bongo–Bagirmi, Bongo–Baka, Morokodo",Variously:titlemgctitle – Morokodotitlenwmtitle – Nyamusa-Molotitlegbntitle – Mo’da (Gberi)titlemwutitle – Mittu (extinct),"ca. 50,000 ",,Unknown,Unknown
Morokodo_people,,,62.0,,https://en.wikipedia.org/wiki/Morokodo_people,Uknown,Uknown,Not provided,Uknown,,Unknown,Unknown
Morori,,,370.0,moro1289,https://en.wikipedia.org/wiki/Moraori_language,"Trans–New Guinea, Southwest Coast, Kolopom, Morori","Trans–New Guinea, Southwest Coast, Kolopom, Morori",mok,Uknown,"Kampung Wasur, Merauke Regency, South Papua, Indonesia[1]",Unknown,Unknown
Mortlockese,,,359.0,mort1237,https://en.wikipedia.org/wiki/Mortlockese_language,"Austronesian, Malayo-Polynesian, Oceanic, Micronesian, Nuclear Micronesian, Chuukic, Satawalese–Mortlockese, Mortlockese","Austronesian, Malayo-Polynesian, Oceanic, Micronesian, Nuclear Micronesian, Chuukic, Satawalese–Mortlockese, Mortlockese",mrl,Uknown,Caroline Islands,Unknown,Unknown
Moselle Franconian,,,1439.0,luxe1241,https://en.wikipedia.org/wiki/Moselle_Franconian_language,"Indo-European, Germanic, West Germanic, High German, West Central German, Central Franconian, Moselle Franconian","Indo-European, Germanic, West Germanic, High German, West Central German, Central Franconian, Moselle Franconian",Nonetitle (titlemistitle)titleIndividual codes:titleltztitle – titleLuxembourgishtitlehrxtitle – titleHunsrik,Uknown,"North Rhine-Westphalia, Rhineland-Palatinate, Saarland, Lorraine, Liège", Luxembourg," Belgium (recognised by the French Community of Belgium),  Brazil (recognised as Cultural Heritage in the states of Santa Catarina and Rio Grande do Sul)"
Moses-Columbia,,,1332.0,colu1241,https://en.wikipedia.org/wiki/Columbian_language,"Salishan, Interior Salish, Southern, Moses-Columbia","Salishan, Interior Salish, Southern, Moses-Columbia",col,Uknown,"northern Idaho, eastern Washington",Unknown,Unknown
Mossimo,,,282.0,,https://en.wikipedia.org/wiki/Mossimo,Uknown,Uknown,Not provided,Uknown,,Unknown,Unknown
Movima,,,493.0,movi1243,https://en.wikipedia.org/wiki/Movima_language,Language isolate,Language isolate,mzp,"1,000 ",Beni Department,Bolivia,Unknown
Moyon,,,540.0,,https://en.wikipedia.org/wiki/Moyon,Uknown,Uknown,Not provided,Uknown,Normandy,Unknown,Unknown
Mru,,,1193.0,mruu1242,https://en.wikipedia.org/wiki/Mru_language,"Sino-Tibetan, Tibeto-Burman, Mruic, , Mru","Sino-Tibetan, Tibeto-Burman, Mruic, , Mru",mro,Uknown,,Unknown,Unknown
Mt. Iraya Agta,,,154.0,mtir1236,https://en.wikipedia.org/wiki/Mount_Iraya_Agta_language,"Austronesian, Malayo-Polynesian, Philippine, Central Philippine, Bikol languages, Coastal Bikol, Mt. Iraya Agta","Austronesian, Malayo-Polynesian, Philippine, Central Philippine, Bikol languages, Coastal Bikol, Mt. Iraya Agta",atl,likely extinct ,,Unknown,Unknown
Mudbura,,,1137.0,mudb1240,https://en.wikipedia.org/wiki/Mudburra_language,"Pama–Nyungan, Ngumpin–Yapa, Ngumbin, Mudbura","Pama–Nyungan, Ngumpin–Yapa, Ngumbin, Mudbura",dmw,92 ,Victoria River to Barkly Tablelands,Unknown,Unknown
Muji,,,246.0,,https://en.wikipedia.org/wiki/Muji,Uknown,Uknown,Not provided,Uknown,,Unknown,Unknown
Mulaha,,,1236.0,mula1254,https://en.wikipedia.org/wiki/Mulaha_language,"Trans–New Guinea, Kwalean, Mulaha","Trans–New Guinea, Kwalean, Mulaha",mfw,Uknown,Papua New Guinea,Unknown,Unknown
Mumeng,,,487.0,mume1239,https://en.wikipedia.org/wiki/Dengalu_language,"Austronesian, Malayo-Polynesian, Oceanic, Western Oceanic, North New Guinea, \xa, Ngero–Vitiaz, \xa, Huon Gulf, South Huon Gulf, Hote–Buang, Buang, Mumeng","Austronesian, Malayo-Polynesian, Oceanic, Western Oceanic, North New Guinea, \xa, Ngero–Vitiaz, \xa, Huon Gulf, South Huon Gulf, Hote–Buang, Buang, Mumeng","Variously:titledactitle – Dambititleksltitle – Kumalutitleptptitle – Patep (Ptep, Dengalu)titlezegtitle – Zenag (ZeNot providedg)titlegoctitle – Gorakor",Uknown,Morobe Province,Unknown,Unknown
Mundari,,,1818.0,mund1320,https://en.wikipedia.org/wiki/Mundari_language,"Austroasiatic, Munda, North, Kherwarian, Mundaric, Mundari","Austroasiatic, Munda, North, Kherwarian, Mundaric, Mundari",unr,"1,661,656[a] ",," India
Jharkhand (additional)
",Unknown
Munduruku,,,1778.0,,https://en.wikipedia.org/wiki/Munduruku,Uknown,Uknown,Not provided,Uknown,,Unknown,Unknown
Munichi,,,1410.0,muni1258,https://en.wikipedia.org/wiki/Munichi_language,"Macro-, Arawakan, \xa","Macro-, Arawakan, \xa",myr,Uknown,Loreto,Unknown,Unknown
Munji,,,169.0,munj1244,https://en.wikipedia.org/wiki/Munji_language,"Indo-European, Indo-Iranian, Iranian, Eastern, Munji–Yidgha,Munji","Indo-European, Indo-Iranian, Iranian, Eastern, Munji–Yidgha,Munji",mnj,"5,300 ",,Unknown,Unknown
Munsee,,,174.0,muns1251,https://en.wikipedia.org/wiki/Munsee_language,"Algic, Algonquian, Eastern Algonquian, Delawaran, , , , Delaware, Munsee","Algic, Algonquian, Eastern Algonquian, Delawaran, , , , Delaware, Munsee",umu,2 ,"now in Ontario; formerly in New York, New Jersey, Pennsylvania",Unknown,Unknown
Mura,,,1474.0,pira1253,https://en.wikipedia.org/wiki/Mura_language,"Macro-Warpean, \xa, Mura–Matanawi, \xa, Mura","Macro-Warpean, \xa, Mura–Matanawi, \xa, Mura",myptitle  Pirahã (Mura),360 ,Amazon,Unknown,Unknown
Muscogee,,,1785.0,cree1270,https://en.wikipedia.org/wiki/Creek_language,"Muskogean, Eastern, Muscogee","Muskogean, Eastern, Muscogee",mus,"4,500 ","East central Oklahoma, Muscogee and Seminole, south Alabama Creek, Florida, Seminole of Brighton Reservation.", United States   Muscogee Nation,Unknown
Musom,,,859.0,muso1238,https://en.wikipedia.org/wiki/Musom_language,"Austronesian, Malayo-Polynesian, Oceanic, Western Oceanic, Huon Gulf, Markham, Lower Markham, Busu, Musom","Austronesian, Malayo-Polynesian, Oceanic, Western Oceanic, Huon Gulf, Markham, Lower Markham, Busu, Musom",msu,200 ,"Markham Valley, New Guinea",Unknown,Unknown
Mussau-Emira,,,503.0,muss1246,https://en.wikipedia.org/wiki/Mussau-Emira_language,"Austronesian, Malayo-Polynesian, Oceanic, St. Matthias, Mussau-Emira","Austronesian, Malayo-Polynesian, Oceanic, St. Matthias, Mussau-Emira",emi,"5,000 ",Islands of Mussau and Emirau (New Ireland Province),Unknown,Unknown
Mvanip,,,102.0,mvan1238,https://en.wikipedia.org/wiki/Mvanip_language,"Niger–Congo,Atlantic–Congo, Benue–Congo, Mambiloid, Mambila–Konja, Mambila–Vute, Kamkam, Mvanip","Niger–Congo,Atlantic–Congo, Benue–Congo, Mambiloid, Mambila–Konja, Mambila–Vute, Kamkam, Mvanip",mcj,Uknown,Taraba State,Unknown,Unknown
Mwatebu,,,791.0,mwat1237,https://en.wikipedia.org/wiki/Mwatebu_language,"Austronesian, Malayo-Polynesian, Oceanic, Western Oceanic, Papuan Tip, Nuclear Papuan Tip, ""North Papuan Mainland – DEntrecasteaux"", Dobu–Duau, Mwatebu","Austronesian, Malayo-Polynesian, Oceanic, Western Oceanic, Papuan Tip, Nuclear Papuan Tip, ""North Papuan Mainland – DEntrecasteaux"", Dobu–Duau, Mwatebu",mwa,120 ,Milne Bay Province,Unknown,Unknown
Mwesen,,,10.0,vure1239title  Vures,https://en.wikipedia.org/wiki/Mwesen_language,"Austronesian, Malayo-Polynesian, Oceanic, Southern Oceanic, North-Central Vanuatu, North Vanuatu, Torres-Banks, Mwesen","Austronesian, Malayo-Polynesian, Oceanic, Southern Oceanic, North-Central Vanuatu, North Vanuatu, Torres-Banks, Mwesen",msntitle  (shared with titleVurestitle),10 ,Vanua Lava,Unknown,Unknown
