,lang,family,dialects,iso3code,speakers,regions,off_lang,rec_min_lang
330,Jutlandic_dialect,"['Indo-European', 'Germanic', 'North Germanic', 'East Scandinavian', '[2]', 'Danish', 'Jutlandic']",['South Jutlandic'],jut,,Jutland (Denmark) and in the northern parts of Southern Schleswig (Germany).[1],,
331,Kashmiri_language,"['Indo-European', 'Indo-Iranian', 'Indo-Aryan', 'Dardic', 'Eastern Dardic', 'Kashmiric', 'Kashmiri']","['Kishtwari', ', ', 'Poguli', '[2]', '[3]']",kas,7.1 million (2011)[1],"Kashmir (Kashmir division and parts of Chenab valley, Jammu and Kashmir,[1] parts of northern Azad Kashmir)"," India
Jammu and Kashmir[8][9]
",
332,Republic_of_Niger,,,,,,,
333,Delhi,,,,,North India,,
334,Republic_of_Bashkortostan,,,,,,,
335,Tibet_Autonomous_Region,,,,,,,
336,Haitian_Creole,"['French Creole', '[2]', 'Circum-Caribbean French', '[3]', 'Haitian Creole']",,hat,13 million (2020)[1],, Haiti, Bahamas[4] Cuba[4] Dominican Republic United States
337,Standard_Tibetan,"['Sino-Tibetan', 'Tibeto-Burman', 'Tibeto-Kanauri', ' (?)', 'Bodish', 'Tibetic', 'Central Tibetan', 'Lhasa Tibetan']",,bod,(1.2 million cited 1990 census)[1],"Tibet Autonomous Region, U-Tsang"," China
Tibet Autonomous Region
",
338,Romani_language,"['Indo-European', 'Indo-Iranian', 'Indo-Aryan', 'Western Indo-Aryan', '[3]', 'Romani']","['Balkan Romani', ' (including ', 'Zargari Romani', ')', 'Baltic Romani', 'Carpathian Romani', 'Northern Romani', ' (including ', 'Finnish Kalo', ', ', 'Sinte Romani', ', ', 'Welsh Romani', ')', 'Vlax Romani']",rom – inclusive codeIndividual codes:rmn – Balkan Romanirml – Baltic Romanirmc – Carpathian Romanirmf – Finnish Kalormo – Sinte Romanirmy – Vlax Romanirmw – Welsh Romani,4.6 million (2015)[1][2],,,"
 Austria[4]
 Bosnia and Herzegovina[5]
 Colombia[6]
 Finland[7]
 Germany[8]
 Hungary[9]
 Kosovo[10]
 Montenegro[5]
 North Macedonia[5]
 Norway[11]
 Poland[5]
 Denmark[5]
 Romania[5]
 Serbia[5]
 Slovakia[5]
 Sweden[5]
"
339,Kannada,"['Dravidian', 'South', 'South Dravidian I', 'Tamil–Kannada', '[2]', 'Kannada–Badaga', 'Kannada']",,kan,L1: 44 million (2011)[1]L2: 15 million (2011)[1]  Total: 59 million (2011)[1],Karnataka," India
Karnataka
",
340,Inuit_Sign_Language,['Language isolate'],,iks,"At least 47 Deaf in Nunavut (2000 (2000 data, 2014 pub.))[2]Unknown additional hearing speakers",Nunavut,none,Interpreted alongside ASL in the Legislative Assembly of Nunavut.[3]
341,Kosrae,,,,,,,
342,Autonomous_Region_of_Bougainville,,,,,,,
343,Southwest_United_States,,,,,,,
344,Czech_Republic,,,,,,,
345,Alabama,,,,,,,
346,Mon_language,"['Austroasiatic', 'Monic', 'Mon']",,Either:mnw – Modern Monomx – Old Mon,"800,000 – 1 million (2007)[1]",Lower Myanmar,, Myanmar Thailand
347,Nyangia_language,"['Nilo-Saharan', '?\n', 'Kuliak', ""Nyang'i–"", 'Soo', ""Nyang'i""]",,nyp,None1 semi-speaker (2017),Uganda,,
348,Tangut_Empire,,,,,,,
349,Upper_Sorbian_language,"['Indo-European', 'Balto-Slavic', 'Slavic', 'West Slavic', 'Sorbian', 'Upper Sorbian']",,hsb,"13,000 (2007)[1]",Saxony,Regional language in Saxony,
350,Kazakh_language,"['Turkic', 'Common Turkic', 'Kipchak', 'Kipchak–Nogai', 'Kazakh']",,kaz,17 million (2021 census)[1],Central Asia(Turkestan),"KazakhstanRussia
Altai Republic[2]
China

Ili Kazakh Autonomous Prefecture
Barköl Kazakh Autonomous County
Mori Kazakh Autonomous County
Aksay Kazakh Autonomous County

Organisations:
Organization of Turkic StatesCollective Security Treaty Organization

",
351,Nahuatl_language,"['Uto-Aztecan', 'Southern Uto-Aztecan', 'Nahuan', 'Nahuatl']","['Western Peripheral Nahuatl', 'Eastern Peripheral Nahuatl', 'Huasteca Nahuatl', 'Central Nahuatl languages']","nhe Huasteca NahuatlFor other varieties, see Nahuan languages",1.7 million in Mexico (2020 census)[5],Mexico: Puebla Veracruz Hidalgo Guerrero San Luis Potosí State of Mexico Nuevo León Mexico City Morelos Tlaxcala Jalisco Tamaulipas Oaxaca Michoacán Durango Chihuahua  Communities in: USEl SalvadorNicaragua[2][3]GuatemalaHondurasCosta Rica[4]Canada, Mexico (through the General Law of Linguistic Rights of Indigenous Peoples)[6],
352,Central_Africa,,,,,,,
353,Pipil_language,"['Uto-Aztecan', 'Southern Uto-Aztecan', 'Aztecan (Nahuan)', 'General Aztec', 'Eastern', 'Nawat']",,ppl,500 (2015)[4],"Sonsonate, Ahuachapán, La Libertad, San Salvador, Escuintla, Rivas, Bagaces, Olancho",,
354,Rinconada_Bikol_language,"['Austronesian', 'Malayo-Polynesian', 'Philippine', 'Central Philippine', 'Bikol languages', 'Inland Bikol', 'Rinconada Bikol']","['Sinabukid', 'Sinaranəw']",bto,"230,000 (2000 census)[1]",Bicol,Regional language in the Philippines,
355,First_Nations_in_Canada,,,,,,,
356,Afrikaans,"['Indo-European', 'Germanic', 'West Germanic', 'Weser–Rhine Germanic', 'Low Franconian', 'Dutch', 'African Dutch', 'Afrikaans']",,afr,7.2 million (2016)10.3 million L2 speakers in South Africa (2011)[1],, South Africa, Namibia
357,Slovenia,,,,,,,
358,Caucasus,,,,,,,
359,Sherpa_language,"['Sino-Tibetan', 'Tibeto-Burman', 'Tibeto-Kanauri', ' (?)', 'Bodish', 'Tibetic', 'Southern Tibetic', 'Sherpa\xa0']",,xsr,"140,000 (2011 & 2021 census)[1]","Nepal, Sikkim, Tibet"," Nepal India
Sikkim (additional)[2]
",
360,Godoberi_language,"['Northeast Caucasian', 'Avar–Andic', 'Andic', 'Akhvakh–Tindi', 'Karata–Tindi', 'Botlikh–Tindi', 'Godoberi']",,gdo,130 (2010 census)[1],Southwestern Dagestan,,
361,Italian_Republic,,,,,,,
362,Karachay-Cherkessia,,,,,,,
363,Switzerland,,,,,,,
364,Western_Africa,,,,,,,
365,Khanty_language,"['Uralic', 'Ugric', '?', 'Ob-Ugric', '?', 'Khanty']","['Northern', 'Southern', 'Surgut', 'Far Eastern']",kca,"14,000 (2020 census)[1]",Khanty–Mansi,,
366,Islamic_Republic_of_Iran,,,,,,,
367,Papua_New_Guinea,,,,,,,
368,Ouadda%C3%AF_Region,,,,,,,
369,Kapampangan_language,"['Austronesian', 'Malayo-Polynesian', 'Philippine', 'Central Luzon', 'Kapampangan']",,pam,2.8 million (2010)[1][needs update]7th most spoken native language in the Philippines[2],"Central Luzon (entirety of Pampanga, southern Tarlac, northeastern Bataan, western Bulacan, southwestern Nueva Ecija, southeastern parts of Zambales)",Angeles City[3][4][5],Regional language of the Philippines
370,Arabela_language,"['Zaparoan', '\nArabela–Andoa', 'Arabela']",,arl,50 (2002)[1],, Peru[2],
371,United_Kingdom_of_Great_Britain_and_Northern_Ireland,,,,,,,
372,West_Frisian_language,"['Indo-European', 'Germanic', 'West Germanic', 'North Sea Germanic', 'Anglo-Frisian', 'Frisian', 'West Frisian', 'Westlauwers–', 'Terschellings', 'West Frisian']",,fry,"470,000 (2001 census)[1]",Friesland,"Netherlands
Friesland
",
373,Ngbee_language,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Bantoid', 'Bantu', 'Boan', 'Bomokandian', 'Ngbele–Ngenda', 'Ngbee']",,jgb,,,,
374,Lakota_language,"['Siouan', 'Western Siouan', 'Mississippi Valley Siouan', 'Dakotan', 'Sioux', 'Lakota']",,lkt,"(2,100, 29% of ethnic population cited 1997–2016)[1]","Primarily North Dakota and South Dakota, but also northern Nebraska, southern Minnesota, and northern Montana",,
375,Sikkim,,,,,Northeast India,,
376,Sindh,,,,,,,
377,Ge%27ez,"['Afro-Asiatic', 'Semitic', 'West Semitic', 'South Semitic', 'Ethiopic', 'North', 'Geʽez']",,gez,,,"Liturgical language of the Eritrean Orthodox Tewahedo Church, Ethiopian Orthodox Tewahedo Church, Eritrean Catholic Church,[3] Ethiopian Catholic Church, and Beta Israel[4]",
378,Yapese_language,"['Austronesian', 'Malayo-Polynesian', 'Oceanic', 'Admiralty Islands', '?', 'Yapenese']",['Nguluwan'],yap,"5,130 (2005)[1]",Island of Yap,,
379,Eastern_Armenian_language,"['Indo-European', 'Armenian', 'Eastern Armenian']",,hye,3.8 million (2013)[1],,,
380,Russia,,,,,,,
381,Uspanteco,"['Mayan', '\nQuichean–Mamean', 'Greater Quichean', 'Uspantek']",,usp,"5,100 (2019 census)[1]",Quiché (department),,
382,Chinese_language,"['Sino-Tibetan', 'Sinitic', 'Chinese']","['Mandarin', 'Jin', 'Wu', 'Gan', 'Xiang', 'Min', 'Hakka', 'Yue', 'Ping', 'Huizhou']",zho – inclusive codeIndividual codes:cdo – Eastern Mincjy – Jinyucmn – Mandarincpx – Pu-Xian Minczh – Huizhouczo – Central Mingan – Ganhak – Hakkahsn – Xiangmnp – Northern Minnan – Southern Minwuu – Wuyue – Yuecsp – Southern Pinghuacnp – Northern Pinghuaoch – Old Chineseltc – Late Middle Chineselzh – Classical Chinese,1.35 billion (2017–2022)[1],,"Mandarin
 Mainland China
 Taiwan
 Singapore
Cantonese[b]
 Hong Kong
 Macau
",
383,Roman_Republic,,,,,,,
384,Mexico,,,,,,,
385,Miami-Illinois_language,"['Algic', 'Algonquian', 'Miami-Illinois']",,mia,,"Illinois, Indiana, Kansas, Michigan, Ohio, Oklahoma",,
386,Valencian,"['Indo-European', 'Italic', 'Latino-Faliscan', 'Romance', 'Italo-Western', 'Western', 'Gallo-Romance', '[2]', 'Occitano-Romance', '[2]', 'Catalan', 'Western Catalan', '[3]', 'Valencian']",,–,2.4 million (2004)[1],"Valencian Community, Region of Murcia (Carche)  See also geographic distribution of Catalan","Spain
Valencian Community
","Spain
Carche, Region of Murcia
"
387,Sardinian_language,"['Indo-European', 'Italic', 'Latino-Faliscan', 'Latin', 'Romance', 'Southern Romance', '?', 'Sardinian']",,srd – inclusive code SardinianIndividual codes:sro – Campidanese Sardiniansrc – Logudorese Sardinian,"1 million (2010, 2016)[1][2][3]",Sardinia,,"Italy (1999[4])
Sardinia (1997,[5] 2018[6])
"
388,South_Sudan,,,,,,,
389,Basque_Country_(greater_region),,,,,,,
390,Catalonia,,,,,,,
391,Independent_State_of_Papua_New_Guinea,,,,,,,
392,Borama_alphabet,,,,,,,
393,Provinces_of_Indonesia,,,,,,,
394,Zhejiang,,,,,,,
395,Vaagri_Booli_language,"['Indo-European', 'Indo-Iranian', 'Indo-Aryan', '(unclassified; ', 'Bhili', '?)', 'Vaagri Booli']",,vaa,"9,300 (2007)[1]","Tamil Nadu, Andhra Pradesh, Pondicherry, Karnataka, Maharashtra",,
396,Choctaw_language,"['Muskogean', '\nWestern', 'Choctaw']",,cho,"9,600 (2015 census)[1]","From Southeastern Oklahoma, to east-central Mississippi and into Louisiana and Tennessee", United States      Oklahoma (Choctaw Nation only),
397,Lule_S%C3%A1mi,"['Uralic', 'Sámi', 'Western', 'Lule Sámi']",,smj,650 (2015)[1],,Norway,Sweden[2]
398,Greek_language,"['Indo-European', 'Graeco-Phrygian', ' (?)', 'Hellenic', 'Greek']","['Ancient dialects', 'Koine', 'Medieval', 'Modern dialects']",Variously:ell – Modern Greekgrc – Ancient Greekcpg – Cappadocian Greekgmy – Mycenaean Greekpnt – Pontictsd – Tsakonianyej – Yevanic,13.5 million (2012)[1],,"
 Greece
 Cyprus
 European Union
","
 Albania
 Armenia
 Hungary
 Italy (Apulia and Calabria)
 Romania
 Turkey[2][3][4][5]
 Ukraine
"
399,Rusyn_language,"['Indo-European', 'Balto-Slavic', 'Slavic', 'East Slavic', 'Rusyn']","['Lemko', '[10]', 'Prešov', '[10]', 'Subcarpathian', '[10]', 'Pannonian']",rue,"70,000 (2001–2013)[1]Slovakia – 38,679[2]Serbia – 15,626[3]Poland – 10,000[4]Ukraine – 6,725[5]Croatia – 2,337[6]Hungary – 1,113[7]Czech Republic – 777[8]",, Serbia (in Vojvodina)[12][13], Bosnia and Herzegovina[12] Croatia[12] Czech Republic[12] Hungary[12][14] Poland[12][15] Romania[12] Slovakia[12] Ukraine[citation needed]
400,Belarus,,,,,,,
401,Central_Province_(Kenya),,,,,,,
402,Friulian,"['Indo-European', 'Italic', 'Latino-Faliscan', 'Romance', 'Italo-Western', 'Western Romance', 'Gallo-Romance', 'Rhaeto-Romance', ' or Gallo-Rhaetian', '[2]', 'Friulian']",,fur,"Regular speakers: 420,000 (2014)[1]Total: 600,000 (2014)[1]",Friuli,,
403,Argentina,,,,,,,
404,Drehu_language,"['Austronesian', 'Malayo-Polynesian', 'Oceanic', 'Southern Oceanic', 'New Caledonian – Loyalties', 'Loyalty Islands', 'Drehu']",,dhv,"unknown; est. 13,000 includes many L2 speakers (2009)[1]","Lifou, New Caledonia",,
405,Northern_Africa,,,,,,,
406,Sundanese_language,"['Austronesian', 'Malayo-Polynesian', 'disputed:', 'Malayo-Sumbawan', ' or ', 'Greater North Borneo', 'Sundanese–', 'Baduy', 'Sundanese']","['Baduy', ' (considered a separate language)', 'Banten', 'Banyumas', ' (extinct)', 'Bogor', 'Brebes', 'Ciamis', 'Northeast\n', 'Cirebon', 'Indramayu', 'Majalengka', 'Priangan']",Variously:sun – Sundanesebac – Baduy Sundaneseosn – Old Sundanese,32 million (2015)[1],"West Java, Banten, Jakarta, small parts of western Central Java, southern Lampung, also spoken by the Sundanese diaspora all over Indonesia and throughout the world.",,
407,Min_Nan,,,nan,,,,
408,Cypriot_Arabic,"['Afro-Asiatic', 'Semitic', 'West Semitic', 'Central Semitic', 'Arabic', 'Mesopotamian', 'Qeltu', 'Cypriot Arabic']",,acy,"No L1 speakers in the south (2011)[1]9,800 total speakers (2013 UNSD)[2]",Kormakitis and urban areas in the south,, Cyprus
409,Kwanyama_dialect,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Volta-Congo', 'Benue–Congo', 'Bantoid', 'Southern Bantoid', 'Bantu', 'Kavango–Southwest', 'Southwest Bantu', 'Ovambo', 'Kwanyama']",,kua,"(250,000 in Namibia (2006);420,000 in Angola cited 1993)[1]",Ovamboland,,
410,Cara%C8%99ova,,,,,,,
411,Maguindanao_language,"['Austronesian', 'Malayo-Polynesian', 'Philippine', 'Greater Central Philippine', 'Danao', 'Maguindanaon']","['Tau sa Ilud', 'Tau sa Laya', 'Biwangen']",mdh,"2,021,099 - 3,219,000 (2020)[1]","Maguindanao del Norte, Maguindanao del Sur, Sultan Kudarat, North Cotabato, South Cotabato, Sarangani, Zamboanga del Sur, Zamboanga Sibugay, Davao del Sur, Davao del Norte, Davao Occidental",Regional language in the Philippines,
412,Copts,,,,,,,
413,Madagascar,,,,,,,
414,Chipewyan_language,"['Dené–Yeniseian', '?\n', 'Na-Dené', 'Athabaskan', 'Northern Athabaskan', 'Chipewyan']","['Dënesųłinë́ yatié', 'Dënedédliné yatié', 'Tthetsánót’iné yatié', 'Tetsǫ́t’iné yatié']",chp,"11,325, 41% of ethnic population (2016 census)[2]","Northern Alberta, Saskatchewan, Manitoba; southern Northwest Territories and Nunavut",Canada (Northwest Territories)[3],
415,Kabyle_language,"['Afro-Asiatic', 'Berber', 'Northern', 'Kabyle']",,kab,"3 million in Algeria (2004, 9.4% of the population)[1][a]1 million diaspora[2]","Kabylia (Provinces of Béjaïa, Bouira, Boumerdes, Tizi Ouzou)",,
416,Finland,,,,,,,
417,Krais_of_Russia,,,,,,,
418,Bosnia_and_Herzegovina,,,,,,,
419,Nanping,,,,,,,
420,Baltistan,,,,,,,
421,Tok_Pisin,"['English Creole', '\nPacific', 'Melanesian Pidgin', 'Tok Pisin']",,tpi,"130,000 (2004–2016)[2]L2 speakers: 4,000,000[2]",, Papua New Guinea,
422,Volap%C3%BCk,,,vol,,,,
423,Marshall_Islands,,,,,,,
424,Fiji,,,,,,,
425,Paraguay,,,,,,,
426,Department_of_Pasco,,,,,,,
427,Myanmar,,,,,,,
428,Direct-controlled_municipalities_of_China,,,,,,,
429,Socialist_Republic_of_Vietnam,,,,,,,
430,Weixi_Lisu_Autonomous_County,,,,,,,
431,Slovene_language,"['Indo-European', 'Balto-Slavic', 'Slavic', 'South Slavic', 'Western South Slavic', 'Slovene']","['Prekmurje dialect', 'Resian', 'approx. ', '48 unstandardised dialects']",slv  Slovenian,2.5 million (2010)[4],, Slovenia  European Union, Austria[5] Hungary[6] Italy[7]
432,Arpitan_language,"['Indo-European', 'Italic', 'Latino-Faliscan', 'Latin', 'Romance', 'Italo-Western', 'Western Romance', 'Gallo-Iberian?', '[3]', 'Gallo-Romance', 'Gallo-Rhaetian?', '[3]', 'Arpitan–', 'Oïl', 'Franco-Provençal']","['Dauphinois', 'Faetar', 'Jurassien', 'Lyonnais', 'Savoyard', 'Valdôtain', 'Vaudois']",frp,"157,000 (2013)[1]80,000 in France, 70,000 in Italy and 7,000 in Switzerland[2]","Aosta Valley, Piedmont, Franche-Comté, Savoie, Bresse, Bugey, Dombes, Beaujolais, Dauphiné, Lyonnais, Forez, Romandie",,"France
Auvergne-Rhône-Alpes
Bourgogne-Franche-Comté
Italy

Aosta Valley (protected by statute)[4]
Switzerland

see below
"
433,Berber_languages,,,,,,,
434,Irkutsk_Oblast,,,,,,,
435,Bougainville_Island,,,,,,,
436,Kuliak_languages,,,,,,,
437,Interlingue,,,ile,,,,
438,"Sonsonate,_El_Salvador",,,,,,,
439,Subsaharan_Africa,,,,,,,
440,Khmu_language,"['Austroasiatic', 'Khmuic', 'Khmu']",,Either:kjg – Khmukhf – Buddhist Khmu (Kmhmu' Khwen)[3][4],"(798,400 cited 1990–2015 census)[1][2]",,,
441,Northwest_Territories,,,,,,,
442,Yala_Province,,,,,,,
443,Tzotzil_language,"['Mayan', 'Cholan–Tzeltalan', 'Tzeltalan', 'Tzotzil']",,tzo,"550,000 (2020 census)[1]","Chiapas, Oaxaca, Veracruz",,
444,Netherlands,,,,,,,
445,"Punjab,_India",,,,,North India,,
446,Fon_language,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Volta-Congo', 'Volta–Niger', 'Gbe', 'Fon']","['Agbome', 'Arohun', 'Gbekon', 'Kpase']",fon,2.3 million (2019–2021)[1],, Benin,
447,Cantonese,"['Sino-Tibetan', 'Sinitic', 'Chinese', 'Yue', 'Yuehai', 'Cantonese']","['Xiguan', 'Hong Kong']",yue  (superset for all Yue dialects),,"Guangdong, eastern Guangxi", Hong Kong Macau,
448,Hokkien,"['Sino-Tibetan', 'Sinitic', 'Chinese', 'Min', 'Coastal Min', 'Southern Min', 'Hokkien']","['Amoy', ' (Xiamen)', 'Quanzhou', 'Zhangzhou', 'Longyan', 'Taiwanese', ' (Hái-kháu accent, Lāi-po͘ accent, Phian-hái accent, Phian-lāi accent)', 'Singaporean', '[6]', 'Penang', ' (', 'Penang', ', ', 'Kedah', ', ', 'Perlis', ')', '[6]', 'Medan', ' (', 'North Sumatra', ')', '[6]', 'Philippine', '[6]', ' (Chuanchiu-based, Amoy-based)', 'Southern Peninsular Malaysian', ' (', 'Johor', ', ', 'Klang', ', ', 'Muar', ', ', 'Malacca', ')', '[6]', 'Riau Hokkien (', 'Riau Province', ', ', 'Riau islands', ', ', 'Jambi', ')', '[6]', 'Kelantan Hokkien (', 'Kota Bharu', ', ', 'Kelantan', ', ', 'Southern Thailand', ')', '[6]', 'Kuching Sarawak Hokkien (', 'Kuching', ', ', 'Sarawak', ')', '[6]', 'Java Hokkien (', 'Jakarta', ', ', 'Semarang', ', ', 'Surakarta', ', etc.)', 'Hong Kong Hokkien (', 'North Point', ', ', 'Causeway Bay', ', ', 'Kowloon Bay', ')', 'Yangon Hokkien (', 'Yangon Region', ')', '[6]', 'Phuket Hokkien (', 'Phuket province', ')', '[6]', 'Saigon Hokkien (', 'Chợ Lớn', ', ', 'Ho Chi Minh City', ')', '[6]']",nan for Southern Min (hbl is proposed[11]),"Many of the 27.7 million Southern Min speakers in mainland China (2018), 13.5 million in Taiwan (2017), 2.02 million in Malaysia (2000),[a] 1.5 million in Singapore (2017),[2] 1 million in Philippines (2010), 766,000 in Indonesia (2015), 350,000 in Cambodia (2001), 70,500 in Hong Kong (2016), 45,000 in Vietnam (1989 ), 17,600 in Thailand (1984), 13,300 in Brunei (2004)[1]",East and Southeast Asia, Taiwan[7][8][9] (also a statutory language for public transport announcements in Taiwan)[10],
449,Aguacateco_language,"['Mayan', '\nQuichean–Mamean', 'Greater Mamean', 'Ixilan', 'Awakatek']",,agu,"10,100 in Guatemala (2019 census)[1]20 in Mexico (2020 census)[2]",Huehuetenango,," Guatemala
 Mexico"
450,Iran,,,,,,,
451,Darfur,,,,,,,
452,Luxembourg,,,,,,,
453,Batak,,,,,,,
454,Pangasinan_language,"['Austronesian', 'Malayo-Polynesian', 'Philippine', 'Northern Philippine', 'Northern Luzon', 'Meso-Cordilleran', 'Southern Cordilleran', 'West Southern Cordilleran', 'Pangasinan']",,pag,1.8 million (2010)[2][needs update]8th most spoken native language in the Philippines[3],"Ilocos Region (entirety of Pangasinan, southwestern La Union)Central Luzon (northern Tarlac, northwestern Nueva Ecija, northern Zambales)Cordilleras (southwestern Benguet)Cagayan Valley (southwestern Nueva Vizcaya)",Pangasinan, Philippines(Regional language)
455,Mozambique,,,,,,,
456,South_Sulawesi,,,,,,,
457,Democratic_Republic_of_the_Congo,,,,,,,
458,Malta,,,,,,,
459,Chalcatongo_Mixtec,"['Oto-Manguean', 'Mixtecan', 'Mixtec', 'Atatláhuca–San Miguel Mixtec']",,Variously:mib – Atatláhucamdv – Santa Lucía Monteverdemce – Itundujíampm – Yosondúamig – San Miguel el Grandextj – San Juan Teitaxtl – Tijaltepecxti – Sinicahuaxtt – Tacahua (Yolotepec),"(28,000 cited 1995–2010)[1]","Oaxaca, Guerrero",,
460,Bogor_Regency,,,,,,,
461,Provinces_of_Italy,,,,,,,
462,Campania,,,,,,,
463,Amoy_dialect,"['Sino-Tibetan', 'Sinitic', 'Chinese', 'Min', 'Coastal Min', 'Southern Min', 'Hokkien', 'Amoy']",,–,2 million (2021)[1],"part of Xiamen (Amoy) (Siming and Huli districts), Haicang and Longhai districts to the west",,
464,Mediterranean_Sea,,,,,,,
465,Adygea,,,,,,,
466,Cambodia,,,,,,,
467,Republic_of_Bulgaria,,,,,,,
468,Vedda_language,"['Sinhalese', ' - unknown ', 'language', ' creole\n', 'Vedda']",,ved,(undated figure of 300)[2],Uva Province,,
469,Malaysia,,,,,,,
470,Akan_language,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Volta-Congo', 'Kwa', 'Potou–Tano', 'Tano', 'Central Tano', 'Akan']","['Twi', 'Ahafo', 'Akuapem', 'Wasa', 'Fante', 'Agona', 'Anomabo', 'Abura', 'Gomoa', 'Akyem Bosome', 'Asen', 'Denkyira', 'Kwawu', 'Asante', 'Fante']",aka,L1: 8.9 million (2013)[1]L2: 1 million (no date)[1],,None.— Government-sponsored language of Ghana,
471,Portuguese_language,"['Indo-European', 'Italic', 'Latino-Faliscan', 'Latin', 'Romance', 'Italo-Western', 'Western Romance', 'Gallo', '-', 'Iberian', 'Iberian Romance', 'West Iberian', 'Galician–Portuguese', 'Portuguese']",,por,Native: 230 million (2012–2020)[1]L2: 25 million (2018–2020)[1]Total: 260 million[1],,"
9 countries
 Angola
 Brazil
 Cape Verde
 East Timor
 Equatorial Guinea[2]
 Guinea-Bissau
 Mozambique
 Portugal
 São Tomé and Príncipe



1 dependency
 Macau (China)
               
","
Cultural language
Uruguay[3][4][5]
 Romania
 Spain (Galician language)
South Africa
Numerous international organizations
"
472,Kh%C3%B6vsg%C3%B6l_Province,,,,,,,
473,Min_Bei,"['Sino-Tibetan', 'Sinitic', 'Chinese', 'Min', 'Inland Min', 'Northern Min']","[""Jian'ou"", 'Jianyang', ""Chong'an"", 'Songxi', 'Zhenghe']",mnp,2.5 million (2004)[1],Nanping (northwest Fujian),,
474,Bulgarian_language,"['Indo-European', 'Balto-Slavic', 'Slavic', 'South Slavic', 'Eastern South Slavic', 'Bulgarian']",['Bulgarian dialects'],bul,L1: 7.6 million in Bulgaria (2011 census)[4]L1 + L2: c. 10 million in all countries (2023)[5],,BulgariaEuropean Union,"
Albania
Czech Republic[6]
Hungary[7]
Moldova
Romania[8]
Russia
Serbia
Turkey[9][10][11][12]
Ukraine
"
475,Tamil_Nadu,,,,,South India,,
476,Republic_of_the_Gambia,,,,,,,
477,Tagalog_language,"['Austronesian', 'Malayo-Polynesian', 'Philippine', '?', 'Greater Central Philippine', 'Central Philippine', 'Kasiguranin–Tagalog', 'Tagalog']","['Bataan', 'Batangas', 'Bulacan', 'Lubang', 'Manila', 'Marinduque', 'Puray', 'Tanay–Paete (Eastern Rizal-Northern Laguna)', 'Tayabas', '[2]']",tgl,L1: 29 million (2010)[1]L2: 54 million (2020)[1] Total: 83 million[1],"Katagalugan; Metro Manila, Parts of Central Luzon, Calabarzon, and Parts of Mimaropa","Philippines (as Filipino)

ASEAN (as Filipino)",Philippines (as a regional language and an auxiliary official language in the predominantly Tagalog-speaking areas of the Philippines)
478,Northern_Ireland,,,,,,,
479,Raga_language,"['Austronesian', 'Malayo-Polynesian', 'Oceanic', 'Southern Oceanic', 'North-Central Vanuatu', 'North Vanuatu', 'Raga']",,lml,"6,500 (2001)[1]",Pentecost Island,,
480,Sulu,,,,, Bangsamoro,,
481,Auslan,"['BANZSL', 'Old BSL', 'Auslan']","['Northern dialect (NSW, QLD)', 'Victorian dialect and South-Eastern dialect (all other states)', 'Papua New Guinean Sign Language', ' is an offshoot']",asf,"10,000 (2016 census)[1]",,,
482,Greater_Sylhet,,,,,,,
483,Yakut_language,"['Turkic', 'Common Turkic', 'Siberian Turkic', 'Northern Siberian', 'Yakut']",,sah,"c. 480,000[1]","Yakutia, Magadan Oblast, Amur Oblast, Krasnoyarsk Krai (Evenkiysky District)"," Russia
 Yakutia
",
484,Sardinia,,,,,,,
485,Society_Islands,,,,,,,
486,Aymara_language,"['Aymaran', 'Aymara']",,aym – inclusive codeIndividual codes:ayr – Central Aymaraayc – Southern Aymara,1.7 million (2007–2014)[1],, Bolivia Peru[a], Chile
487,Pomeranian_Voivodeship,,,,,,,
488,Elaz%C4%B1%C4%9F_Province,,,,,,,
489,Hindi,"['Indo-European', 'Indo-Iranian', 'Indo-Aryan', 'Central Zone', 'Western Hindi', '[4]', 'Hindustani', '[4]', 'Hindi']","['See ', 'Hindi languages']",hin,,"Western Uttar Pradesh, Delhi", India[a], South Africa[b][16] United Arab Emirates[c][17]
490,Friesland,,,,,,,
491,Yap_State,,,,,,,
492,Aragon,,,,,,,
493,Liechtenstein,,,,,,,
494,Sint_Maarten,,,,,,,
495,Skolt_S%C3%A1mi,"['Uralic', 'Sámi', 'Eastern', 'Mainland', 'Skolt Sámi']","['Northern:\n', 'Neiden', 'Paatsjoki', 'Southern:\n', 'Njuõʹttjäuʹrr', 'Suõʹnnʼjel']",sms,c. 330 (?),,,
496,Yingjiang_County,,,,,,,
497,Sumerian_language,['Language isolate'],"['Emesal', 'Emesisa', '[1]', 'Emetena', '[1]', 'Emesukudda', '[1]', 'Emesuha', '[1]', 'Emesidi', '[1]', 'Emeku ', '[2]']",sux,,Mesopotamia (modern-day Iraq),,
498,Tosk_Albanian,"['Indo-European', 'Albanoid', 'Albanian', 'Tosk']","['Northern Tosk', 'Southern Tosk', 'Arbëresh', 'Cham', 'Arvanitika', 'Mandritsa', 'Lab']",als,1.8 million (2011 census)[1],"Albania, Kosovo, North Macedonia, Italy, Greece, Turkey",,
